track-name,artist,album-name,album-artist-name,disc-number,track-number,track-duration,explicit,popularity,artist-genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time-signature,label,album-release-year,decade,chords
Out Of The Woods,Taylor Swift,1989 (Deluxe),Taylor Swift,1,4,235800.0,False,57.0,pop,0.553,0.841,7.0,-6.937,1.0,0.0396,0.000743,1.19e-05,0.341,0.338,92.008,4.0,"Big Machine Records, LLC",2014,2010,
Blank Space,Taylor Swift,1989 (Deluxe),Taylor Swift,1,2,231826.0,False,80.0,pop,0.76,0.703,5.0,-5.412,1.0,0.054,0.103,0.0,0.0913,0.57,95.997,4.0,"Big Machine Records, LLC",2014,2010,
Style,Taylor Swift,1989,Taylor Swift,1,3,231000.0,False,0.0,pop,0.598,0.786,2.0,-5.572,1.0,0.0382,0.00256,0.00143,0.117,0.456,95.021,4.0,Universal Music Group,2014,2010,
Love Story - US Album Version,Taylor Swift,Fearless (Australian Version),Taylor Swift,1,3,235266.0,False,0.0,pop,0.618,0.741,2.0,-3.95,1.0,0.031,0.17,0.0,0.0822,0.296,118.984,4.0,Universal Music Australia Pty. Ltd.,2008,2000,
Anti-Hero,Taylor Swift,Midnights,Taylor Swift,1,3,200690.0,False,82.0,pop,0.633,0.648,4.0,-6.645,1.0,0.062,0.121,2.62e-06,0.161,0.49,96.888,4.0,Taylor Swift,2022,2020,
I Forgot That You Existed,Taylor Swift,Lover,Taylor Swift,1,1,170640.0,False,69.0,pop,0.664,0.316,5.0,-10.345,1.0,0.519,0.298,2.03e-06,0.0812,0.541,92.875,4.0,Taylor Swift,2019,2010,
Bad Blood,Taylor Swift,Bad Blood,Taylor Swift,1,1,200106.0,False,0.0,"pop,conscious hip hop,hip hop,rap,west coast rap",0.654,0.655,11.0,-7.388,0.0,0.106,0.0294,0.0,0.139,0.221,170.16,4.0,"Big Machine Records, LLC.",2015,2010,
Two Is Better Than One (feat. Taylor Swift),Taylor Swift,Love Drunk,BOYS LIKE GIRLS,1,4,242840.0,False,62.0,"neon pop punk,pop punk,pop",0.521,0.702,0.0,-5.189,1.0,0.0331,0.189,0.0,0.0962,0.25,127.976,4.0,Columbia,2009,2000,
I Knew You Were Trouble.,Taylor Swift,Red (Deluxe Edition),Taylor Swift,1,4,219720.0,False,57.0,pop,0.622,0.469,3.0,-6.798,0.0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,4.0,"Big Machine Records, LLC",2012,2010,
Look What You Made Me Do,Taylor Swift,reputation,Taylor Swift,1,6,211853.0,False,0.0,pop,0.766,0.709,9.0,-6.471,0.0,0.123,0.204,1.41e-05,0.126,0.506,128.07,4.0,"Big Machine Records, LLC",2017,2010,
